Mixture,monocyte,cd4_positive_alpha_beta_t_cell,cd8_positive_alpha_beta_t_cell,b_cell,conventional_dendritic_cell,natural_killer_cell,plasmacytoid_dendritic_cell,platelet,P-value,Correlation,RMSE
sample22,0.0854601876722536,0.375417277403414,0.117624693424078,0,0.0311129288922442,0.307934706011786,0,0.0824502065962243,0,0.807649515991094,0.725712029610242
sample23,0.206951151914492,0.248753177143144,0.11843844821479,0.349339560989972,0.0639852809405468,0,0.012461572833004,7.08079640511979e-05,0,0.751198494656637,0.723006406384208
sample24,0.011893430766369,0.749911868626627,0,0.183384471280537,0.0271157034372307,0.0122676901575188,0.0131262959196478,0.00230053981206946,0,0.876783577303899,0.758030122872378
sample25,0.174022073817815,0.32442583415458,0.211688967537396,0,0,0.036527087904861,0.0584353730156876,0.19490066356966,0,0.88796307069784,0.612969427000016
sample26,0.0390993272441088,0.352581516816466,0,0,0.509739696307476,0.0774707688553202,0.0211086907766284,0,0,0.773094702538582,0.669178831577347
sample27,0.115038239800785,0.284028287799959,0.205914139544602,0.051106729475642,0,0.116307564729423,0.227473772104039,0.00013126654554991,0,0.805401964854351,0.762363157288151
sample28,0.0101486050058326,0.453318540934672,0.490086644870445,0.00200785970816432,0,0.0323518410985693,0.0099674192473693,0.00211908913494737,0,0.923169920814932,0.762956572547901
sample29,0.500176367248284,0.221887862881844,0,0.0018019049805224,0.0950138282359395,0.0529876499212293,0.00874060176646207,0.119391784965718,0,0.869390198607095,0.5052577985023
sample30,0.226770825058552,0.114525619045026,0,0.0127304498176758,0.50400433777383,0.00338924411768445,0.12256636539003,0.0160131587972014,0,0.874781591385881,0.498341211588561
sample31,0.0762070087366117,0.349295540566268,0,0.334663429834113,0.0032421152412639,0.110865170851413,0.00981008978516196,0.115916644985168,0,0.838347674112394,0.701766745550634
sample32,0.0315883435893127,0.301496316237093,0.0806914293742451,0,0.15031398365421,0.0728509109808653,0.362753897008567,0.000305119155706195,0,0.817271419516831,0.716751624965052
sample33,0.022570366324704,0.513748944047669,0.17459542263126,0,0.163964629381134,0.032169786506409,0.0924400230637501,0.000510828045072936,0,0.832320504034828,0.759873835210042
sample34,0.0172239932046483,0.409962534853585,0.162973773672375,0,0.0212066387989014,0.374097612789743,0.000729601396327171,0.0138058452844205,0,0.841420251822274,0.716239828014243
sample35,0.224258872694202,0.219812298454392,0.406110415609252,0,0.0183915431605973,0.0348794875888133,0,0.0965473824927432,0,0.806604960008948,0.710762072353338
sample36,0.149774874045693,0.495979932033681,0.0396825642256338,0,0.00658230382467292,0.058209067915365,0.232034737080282,0.0177365208746722,0,0.808855679711822,0.751664987377602
sample37,0.00888590629756251,0.686518490231992,0.11475693285807,0.00216115527936178,0.0116678345763929,0.0444183402083606,0.130910902387603,0.00068043816065675,0,0.897472971163286,0.768668808623784
sample38,0.0392629377918354,0.0981653221041199,0,0.4383468089922,0.270332785128662,0.00366709570417693,0.150225050279005,0,0,0.855012494101258,0.599636901110128
