Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample250,0,0.0669983806874546,0.0794495855489361,0.363465852596021,0.143061576696115,0.122920424664874,0.00289882058391883,0,0.00879426589013394,0.0108530013318188,0,0.0860225536721881,0.0252207400504251,0,0,0.0551157002483297,0,0,0.0351990980297848,0,0,0,0,0.727996903550971,0.694557788533598
sample251,0,0.101242105443294,0.111410014818568,0.0766131374137345,0.0251862777985262,0.042130402764598,0,0,0,0.014544769298644,0,0.0321070030696322,0.305445190684643,0,0,0.225477588436092,0,0.0242427985312599,0.0387720553629657,0,0.00282865637804213,0,0,0.488789995842052,0.872839432029305
sample252,0,0.0988226974935795,0.013310265652976,0.00452311867492936,0.0386970963804646,0.00528435322619897,0.0046965499060563,0,0,0.000137620211390053,0.0155472589763176,0,0.309878095153198,0,0,0.300074240452868,0.139644458191559,0.0447475429548683,0.0246367027255947,0,0,0,0,0.636166327641503,0.79043289689474
sample253,0.0102506381209614,0.029959840619515,0.00657586609191712,0.17307804890277,0,0.524300491724928,0,0,0,0.0822703834783854,0,0.0604947842958834,0.0825534949121653,0,0,0.0106507161936824,0,0.00779238221452366,0.012073353445268,0,0,0,0,0.701647851768554,0.713043491914326
sample254,0,0.00359024419054473,0,0.510068897435366,0,0,0,0,0.0484695137637615,0,0,0.155901676375556,0.172133236589644,0.0179541535587868,9.32730586048194e-06,0.0146427374184802,0.00170604324002852,0,0.0755241701219721,0,0,0,0,0.699119105123997,0.71792502560561
sample255,0,0.0559574606218528,0,0.0709427837972839,0,0.126629392885774,0,0,0.00177206630501431,0.045743154555629,0,0.0182016221668092,0.40594387669415,0,0,0.157988207305038,0.032563791785255,0.0389964287816619,0.0390294268801701,0,0.00623178822136275,0,0,0.599116153521967,0.809209133723245
sample256,0.0317441221928459,0.258457423392396,0.0303943944993638,0.258685187749282,0,0,0,0,0.0564951546744544,0,0,0.102486157912575,0.173324255072032,0.00822050363907429,0,0.0149621524797506,0,0.0229212808449363,0.0388927301205095,0,0,0.00341663742278068,0,0.487358108148528,0.872835504496608
sample257,0.166246469402443,0.189504858046117,0.0153255489202924,0.202644348633468,0.317119711299508,0,0.0397912724110229,0,0.00791087427608074,0,0,0.00422809291210831,0.0314871952677896,0,0,0.00989117339240875,0,0.00817380862551919,0.00537684389246681,0,0.00229980292077663,0,0,0.680266079424314,0.73445987134795
sample258,0.00305649412359237,0.166433035253809,0.0983382302439832,0.414772434229144,0,0,0.0967983393815885,0,0,0,0.0512791475078396,0.0272201069069446,0.0299554868687999,0,0,0.0879802729707174,0,0.00276414947796777,0.0214023030356132,0,0,0,0,0.673678816525434,0.749380743380851
sample259,0.0689873048098055,0.0103296614520246,0.0175518588939287,0.27402512473038,0,0.50344026264112,0,0,0,0,0,0.0651951723848272,0.0296752986315211,0.00707575253611965,0,0,0,0,0.0237195639202736,0,0,0,0,0.723903565247307,0.690547373032787
