	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
120	0.069921926	0.19685386	0.1728069	0.14663659	0.08921351	0.19846778	0.08129578	0.044803638
121	0.13302325	0.12964141	0.056030087	0.138859	0.091781326	0.19463256	0.20457648	0.05145593
122	0.045878824	0.11809884	0.0450274	0.36428508	0.12702912	0.11997055	0.1130711	0.066639006
123	0.11139695	0.019335665	0.12987727	0.07142835	0.095002785	0.22581924	0.21977825	0.12736152
124	0.0373932	0.13595632	0.106633835	0.20167057	0.125457	0.061148245	0.27347544	0.058265373
125	0.0627715	0.09161616	0.29049578	0.17287387	0.02104809	0.0827116	0.15575452	0.12272851
126	0.13769881	0.09515294	0.16520308	0.119480446	0.10871003	0.15721363	0.06467899	0.15186211
127	0.11357735	0.0199285	0.45444787	0.022834588	0.032017898	0.18321848	0.073324054	0.100651205
128	0.18086216	0.12199891	0.1790397	0.23829237	0.022348218	0.016227888	0.20049419	0.04073647
129	0.22378913	0.098224305	0.26441607	0.09062327	0.11922977	0.07292348	0.09505466	0.03573934
130	0.12471693	0.32450473	0.19190325	0.09669316	0.07592837	0.0510092	0.046284556	0.08895985
131	0.20019338	0.17903201	0.057793736	0.17773384	0.054162845	0.122887656	0.14839534	0.05980114
132	0.10248691	0.25177643	0.16942853	0.111158535	0.040968426	0.18379912	0.06985162	0.070530474
133	0.062093936	0.06688439	0.18857487	0.040026784	0.26756215	0.20921709	0.036009625	0.12963115
134	0.03352256	0.11894573	0.09044164	0.19286846	0.04816797	0.0694897	0.19052848	0.25603536
135	0.13855653	0.1542747	0.047581054	0.2908513	0.11656999	0.11351486	0.09163031	0.047021184
136	0.19939631	0.10151757	0.3051063	0.04706499	0.04770354	0.09284799	0.1095245	0.09683876
137	0.28019425	0.08907903	0.2322968	0.05353797	0.02674032	0.04951064	0.23363791	0.035003085
138	0.1386566	0.18140683	0.07551619	0.04509409	0.2325439	0.09912163	0.03592145	0.19173934
139	0.040916964	0.23212798	0.13761932	0.18278909	0.09493652	0.0904873	0.10925922	0.11186363
140	0.12125954	0.13807364	0.07647272	0.05751218	0.11649191	0.06497316	0.4014108	0.02380609
141	0.064185	0.1391904	0.12485608	0.0990083	0.108577445	0.10781806	0.27273273	0.08363196
142	0.10486392	0.075544	0.1330327	0.11430831	0.16991904	0.06437231	0.20352757	0.1344322
143	0.11730105	0.057758726	0.09050575	0.07263002	0.2433646	0.11689568	0.11831901	0.18322518
144	0.04638393	0.15135486	0.2834967	0.07376999	0.11487522	0.07996505	0.090332404	0.15982187
145	0.076373905	0.08287354	0.13793257	0.14933534	0.11666192	0.17923938	0.1564631	0.10112021
146	0.08427402	0.04046282	0.06625061	0.066346355	0.25649393	0.13374656	0.17923734	0.17318839
147	0.028901652	0.2117927	0.12126223	0.17258285	0.093731225	0.16751933	0.11554106	0.088669
148	0.28970984	0.036412984	0.048306063	0.11137528	0.11243133	0.064070076	0.055482175	0.2822123
149	0.13357732	0.039812364	0.19461079	0.09206164	0.047020737	0.105696775	0.27888232	0.108338065
150	0.1481811	0.15665334	0.2418936	0.047485627	0.052402504	0.0719547	0.111236595	0.17019244
151	0.055449106	0.11761413	0.19965076	0.24103288	0.048437998	0.06530628	0.23967363	0.032835174
152	0.13604884	0.1551996	0.12448874	0.11313295	0.14976305	0.18095629	0.09115913	0.049251374
153	0.18886401	0.27526268	0.28668916	0.05569394	0.031455982	0.032305025	0.014092797	0.11563637
154	0.1646926	0.1226523	0.2827385	0.055248182	0.05023229	0.20227745	0.04040181	0.08175683
155	0.09114053	0.098711245	0.12036834	0.25609228	0.07468358	0.1519695	0.11761751	0.089416996
156	0.064282805	0.1706827	0.09658468	0.079570875	0.20931102	0.16814247	0.15137614	0.060049355
157	0.066609174	0.14390482	0.06762854	0.1327994	0.047549214	0.19679503	0.17609948	0.1686143
158	0.1644154	0.15296446	0.17728561	0.097120754	0.113836125	0.08489815	0.057121504	0.15235795
159	0.11583349	0.052576464	0.2634317	0.07531734	0.14590992	0.078975186	0.18917254	0.0787834
160	0.082207516	0.023007803	0.09455689	0.1289911	0.114060484	0.12537593	0.20278853	0.22901176
161	0.07100783	0.27723074	0.12471953	0.06300624	0.21775818	0.09842319	0.11128184	0.03657243
162	0.04804266	0.19424064	0.17131425	0.25939137	0.109087	0.13212296	0.052047994	0.033753082
163	0.14395103	0.2063693	0.15110026	0.036023106	0.19404411	0.051453635	0.059519958	0.15753864
164	0.15394197	0.2521023	0.022118388	0.10299351	0.24296035	0.01709878	0.07743028	0.13135453
165	0.10396344	0.15863748	0.03745167	0.17105184	0.21072243	0.11903957	0.055325214	0.14380836
166	0.028509611	0.20541522	0.09330964	0.110986464	0.34559667	0.033954076	0.083653264	0.098574996
167	0.12581892	0.16031303	0.3229813	0.11820292	0.116108276	0.026189942	0.04390633	0.08647932
168	0.15293992	0.069290064	0.13355279	0.085570954	0.14408566	0.2455575	0.11544096	0.053562127
169	0.41942734	0.085859984	0.15103717	0.060216244	0.03556636	0.09910763	0.029399807	0.119385466
170	0.094080105	0.18409476	0.10463594	0.12240659	0.19286083	0.15244347	0.06564063	0.08383769
171	0.25844768	0.021942653	0.16041498	0.13599817	0.095564425	0.03259777	0.1380265	0.15700774
172	0.042853184	0.2605605	0.20275773	0.16362384	0.0920819	0.16252421	0.05213016	0.02346843
173	0.011801419	0.15503672	0.33413464	0.062070645	0.12686163	0.1725286	0.07543231	0.06213403
174	0.09744549	0.35919872	0.14096932	0.12007972	0.044544082	0.0337724	0.14887741	0.055112787
175	0.11239494	0.25435695	0.09957512	0.080388665	0.119610496	0.0940705	0.110844746	0.12875862
176	0.09928273	0.18683879	0.18916644	0.2885309	0.04283776	0.06286969	0.09409945	0.036374252
177	0.12020233	0.16876093	0.22622307	0.08974023	0.022319093	0.26719052	0.03817225	0.06739152
178	0.15281327	0.12715776	0.30536547	0.03693482	0.034356005	0.1253178	0.1369726	0.08108226
179	0.21887551	0.025674041	0.118389875	0.27020457	0.021298159	0.23796423	0.04637156	0.06122204
180	0.10473927	0.19683121	0.09410728	0.21692528	0.13334893	0.06814693	0.05815796	0.12774312
181	0.06936549	0.16482516	0.1176001	0.08618527	0.10258728	0.33140758	0.07051198	0.05751715
182	0.12938568	0.14266847	0.09226645	0.112119325	0.13760047	0.19262086	0.11767837	0.07566049
183	0.20980309	0.033827756	0.27677184	0.066493064	0.20804675	0.022330662	0.14243104	0.040295802
184	0.23424986	0.13009605	0.07917131	0.2869761	0.047957446	0.096605174	0.04134041	0.08360355
185	0.14389454	0.030961024	0.05763267	0.29076394	0.11528381	0.12967363	0.21688579	0.01490453
186	0.15683696	0.14931192	0.024853973	0.27656987	0.08784976	0.056086726	0.17965882	0.06883198
187	0.038744457	0.18576333	0.19031595	0.11154716	0.05925997	0.17999512	0.18426535	0.050108664
188	0.0740821	0.044275377	0.11403084	0.12701246	0.12270674	0.22029716	0.14116657	0.15642874
189	0.1989856	0.2203372	0.10658848	0.1210475	0.047464933	0.20312989	0.08047407	0.021972263
190	0.34949547	0.02767444	0.092365414	0.0908301	0.11605475	0.035158016	0.21850143	0.06992037
191	0.09668272	0.1795905	0.11142342	0.3500241	0.07509972	0.04550526	0.029037893	0.11263633
192	0.20502086	0.16769424	0.17226008	0.12323073	0.0790032	0.08464514	0.1119792	0.056166563
193	0.079320565	0.07931136	0.37267554	0.061259367	0.11104189	0.1201466	0.1207639	0.055480834
194	0.10057298	0.1262811	0.032288413	0.3233612	0.054821476	0.016846446	0.19915172	0.14667669
195	0.12218067	0.22454044	0.1693177	0.17590287	0.030112352	0.11008061	0.07991247	0.087952815
196	0.19772197	0.21150541	0.07801237	0.07522819	0.19587767	0.053412918	0.12894359	0.059297845
197	0.14153908	0.21604086	0.060162988	0.042227533	0.11430069	0.17939495	0.05113472	0.19519915
198	0.23027183	0.05324889	0.16331379	0.036555033	0.14545947	0.14773217	0.061597086	0.16182175
199	0.10905399	0.028395955	0.30244827	0.07251155	0.09365616	0.20549431	0.15459488	0.033844844
200	0.14386436	0.102538764	0.08605609	0.14750554	0.03925945	0.11721776	0.25113472	0.112423226
201	0.19350024	0.18735142	0.16118199	0.054083634	0.14217184	0.12795329	0.05963258	0.07412495
202	0.07848364	0.09262786	0.16097662	0.11029825	0.09218437	0.123307794	0.14749973	0.19462177
203	0.061722863	0.108461596	0.1864662	0.05001226	0.17402266	0.2307923	0.07745428	0.11106785
204	0.14149298	0.1977456	0.077816896	0.27163795	0.07129722	0.06440089	0.06007694	0.11553155
205	0.054798566	0.101390526	0.33400247	0.16032647	0.05071378	0.09901791	0.11644156	0.083308704
206	0.14747328	0.06952545	0.10289996	0.25197092	0.13771039	0.17357609	0.034203164	0.08264071
207	0.10008713	0.16189209	0.15635169	0.10329474	0.043185744	0.14581506	0.23716469	0.052208886
208	0.11777403	0.13808052	0.019839412	0.23648256	0.06374463	0.20006762	0.08058726	0.14342402
209	0.026416166	0.068139836	0.21280913	0.056656487	0.2128646	0.17492074	0.103327766	0.14486532
210	0.0805265	0.11786385	0.20256275	0.10465056	0.13869637	0.16932632	0.12694107	0.059432603
211	0.21560997	0.17800237	0.044183698	0.07584059	0.17749996	0.097720325	0.06601461	0.14512846
212	0.1190047	0.08052621	0.26345515	0.16348077	0.24112254	0.024261631	0.025661126	0.082487844
213	0.0154696675	0.34908137	0.15329662	0.09532652	0.11581596	0.07355086	0.16245593	0.035003085
214	0.13537827	0.03140672	0.15210679	0.24322838	0.015675979	0.15328802	0.100636825	0.16827899
215	0.11710081	0.19564734	0.25284743	0.0810343	0.039523225	0.121674076	0.1155501	0.07662281
216	0.08391171	0.18808112	0.04791606	0.24163385	0.102433525	0.08112011	0.12877706	0.12612654
217	0.2258156	0.05980468	0.07992209	0.20722419	0.075182885	0.1466726	0.15755549	0.047822535
218	0.1384705	0.15469672	0.20502743	0.15385534	0.047775324	0.13315444	0.12762675	0.039393518
219	0.21946104	0.083402805	0.24496312	0.03870036	0.042369198	0.14868829	0.18197112	0.04044402
220	0.16937862	0.084284864	0.24934785	0.071590334	0.1390697	0.097495005	0.11912881	0.06970481
221	0.08084055	0.08311526	0.06950606	0.20883265	0.11044733	0.089217655	0.25882646	0.09921406
222	0.069290705	0.084493816	0.13939196	0.026746782	0.15066127	0.14081147	0.30569592	0.08290813
223	0.120549306	0.080092706	0.26230997	0.23224798	0.17840426	0.02897498	0.08763056	0.009790241
224	0.16317137	0.03176926	0.303308	0.1417282	0.15123793	0.105033495	0.05022946	0.05352241
225	0.050585147	0.22267394	0.10595697	0.105763905	0.12899202	0.18010196	0.13756303	0.068362966
